Event	ID	Name			Wwise Object Path	Notes
	1986699045	Play_Loose_earth			\Default Work Unit\SFX\Player\Steps\Loose_earth\Play_Loose_earth	
	2044507691	Stop_HomeHobbitt			\Default Work Unit\SFX\HomeHobbit\Stop_HomeHobbitt	
	2152580024	Play_LVL_1			\Default Work Unit\Music\LVL_1\Play_LVL_1	
	2152580027	Play_LVL_2			\Default Work Unit\Music\LVL_2\Play_LVL_2	
	2647050345	Stop_LVL_2			\Default Work Unit\Music\LVL_2\Stop_LVL_2	
	2647050346	Stop_LVL_1			\Default Work Unit\Music\LVL_1\Stop_LVL_1	
	2813418338	Play_Grass_01			\Default Work Unit\SFX\Player\Jump\Grass\Play_Grass_01	
	3053844044	CarrotPickup_1			\Default Work Unit\SFX\CarrotPickup\CarrotPickup_1	
	3076287753	Play_HomeHobbitt			\Default Work Unit\SFX\HomeHobbit\Play_HomeHobbitt	
	3198961276	Play_Grass			\Default Work Unit\SFX\Player\Steps\Grass\Play_Grass	
	3356293770	Play_Branches			\Default Work Unit\SFX\Player\Steps\Branches\Play_Branches	
	3492314494	Play_Tree			\Default Work Unit\SFX\Player\Steps\Tree\Play_Tree	
	3495523558	Stop_Mill_1			\Default Work Unit\SFX\Mill\Stop_Mill_1	
	3773477196	Play_Mill_1			\Default Work Unit\SFX\Mill\Play_Mill_1	

Effect plug-ins	ID	Name	Type				Notes
	646594819	Parametric EQ (Custom)	Wwise Parametric EQ			
	859522279	Parametric EQ (Custom)	Wwise Parametric EQ			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	10598294	Jump_1	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\D6\{D6025B1E-4BF6-F291-C06C-2197B7F5558F}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Jump\Grass\Jump_1		101912
	56115365	elevate_UP_1	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\47\{474EC782-F89D-B331-2ACE-DE90163D381E}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\CarrotPickup\Elevate\elevate_UP_1		211824
	86419343	Loose_earth_5	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\13\{13069C4E-F316-62F5-8565-64115AB58B94}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Steps\Loose_earth_Steps\Loose_earth\Loose_earth_5		101912
	112983277	HobbitHome_4	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\2A\{2ABEA244-A5DF-8419-E058-B87A89E57EE3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\HomeHobbitt\HobbitHome_4		1270224
	116496092	Loose_earth_2	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\6A\{6A3CA46D-AEDF-0582-279D-5213759F9CD1}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Steps\Loose_earth_Steps\Loose_earth\Loose_earth_2		101912
	131541864	HobbitHome_2	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\D2\{D23EAF01-BECE-55F6-F74D-62D1F3CE9BC8}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\HomeHobbitt\HobbitHome_2		1270224
	131815788	StepsTree_7	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\BE\{BE7D5ED5-6544-E258-95DB-9B6B009A5167}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Steps\Tree\Tree\StepsTree_7		101912
	141377649	Grass_6	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\90\{9078B5F3-6E43-52EB-73D1-CE7223C017E4}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Steps\Branches\Branches\Grass_6		122268
	141826356	Steps_Grass_6	C:\Users\Bublik\Hobbit\Hobbit_WwiseProject\.cache\B4\{B4B8A8CE-22CA-780C-1F23-49C946E283CF}.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Player\Steps\Grass\StepsGrass\Steps_Grass_6		122268
